a,TSNE_1,TSNE_2,X,
244,X40.56,0.172352346,-5.604485794,Endothelialcell_Fabp4high(Pancreas)
245,X42.56,-0.171972329,-5.751312826,Endothelialcell_Fabp4high(Pancreas)
246,X44.56,-0.267433482,-5.916355186,Endothelialcell_Fabp4high(Pancreas)
247,X49.56,-0.197763983,-5.966038523,Endothelialcell_Fabp4high(Pancreas)
248,X1.57,-2.69435193,-2.222265799,cell(Pancreas)
249,X12.57,-2.699591224,-2.238722892,cell(Pancreas)
250,X15.57,-2.428880196,6.927744458,cell(Pancreas)
251,X25.57,-2.610850262,-2.149386926,cell(Pancreas)
252,X45.57,-2.383750599,-1.612692185,cell(Pancreas)
253,X49.57,-2.586587998,-2.188382917,cell(Pancreas)
254,V869,0.555686459,-3.432385014,macrophage_mouse
255,X4.58,0.546182068,-3.89488186,Stromalcell_Smoc2high(Pancreas)
256,X39.58,0.780841351,-3.318437389,Stromalcell_Smoc2high(Pancreas)
257,X44.58,0.657856795,-3.443305319,Stromalcell_Smoc2high(Pancreas)
258,V1596,-0.931403221,-1.619713035,macrophage_mouse
259,X4.59,-0.900549692,-1.562291106,Ductalcell(Pancreas)
260,X12.59,-0.467247627,-1.597232498,Ductalcell(Pancreas)
261,V6111,-0.475664228,-1.689192241,macrophage_mouse
262,X14.59,-1.258050428,4.380501136,Ductalcell(Pancreas)
263,X17.59,-0.372962892,-1.654596148,Ductalcell(Pancreas)
264,X26.59,-0.86614848,-1.501144559,Ductalcell(Pancreas)
265,X0.61,1.942099097,-5.595066002,Macrophage(Pancreas)
266,X19.60,-6.201754343,1.997155223,Macrophage(Pancreas)
267,X47.60,1.325219358,-5.17423367,Macrophage(Pancreas)
268,X12.61,0.132544731,-2.196281004,Stromalcell_Fn1high(Pancreas)
269,X21.61,0.55660359,-3.41283682,Stromalcell_Fn1high(Pancreas)
270,X23.61,0.520062302,-3.474942204,Stromalcell_Fn1high(Pancreas)
271,X25.61,0.591879656,-3.4197754,Stromalcell_Fn1high(Pancreas)
272,X29.61,0.544116085,-3.487095767,Stromalcell_Fn1high(Pancreas)
273,X40.61,0.532489377,-2.28395155,Stromalcell_Fn1high(Pancreas)
274,X17.62,-4.690442384,0.757208961,Stromacell(Ovary)
275,V4106,-5.567163904,-8.134662836,macrophage_mouse
276,X16.63,-5.75427931,-8.21133568,lutealcells(Ovary)
277,X21.63,-4.908872936,0.633618171,lutealcells(Ovary)
278,X30.63,-5.736445618,-8.127938635,lutealcells(Ovary)
279,X30.67,-5.387018694,-8.404226105,Cumuluscell_Car14high(Ovary)
280,X4.68,-0.216326289,-6.126502662,Ovarianvascularsurfaceendotheliumcell(Ovary)
281,X5.68,-0.354477916,-6.067350247,Ovarianvascularsurfaceendotheliumcell(Ovary)
282,X43.68,-0.203153119,-6.160798566,Ovarianvascularsurfaceendotheliumcell(Ovary)
283,X48.68,-0.147073692,-6.02130028,Ovarianvascularsurfaceendotheliumcell(Ovary)
284,X11.71,-5.706200116,-8.109145909,Largelutealcell(Ovary)
285,X15.76,-7.067315631,3.548500119,Brownadiposetissue_Cideahigh(Neonatal-Skin)
286,V1061,6.714752016,5.318731707,macrophage_mouse
287,X10.78,6.855548034,5.356022431,Cartilagecell_Prg4high(Neonatal-Rib)
288,X22.79,6.195346783,4.455546455,Stromalcell_Acta1high(Neonatal-Rib)
289,X32.80,7.563951621,5.407986847,Cartilagecell_Cxcl14high(Neonatal-Rib)
290,X42.80,7.793665537,5.336156098,Cartilagecell_Cxcl14high(Neonatal-Rib)
291,X7.82,7.447955614,5.293838135,Cartilagecell_Col2a1high(Neonatal-Rib)
292,X41.84,7.620985831,5.20126423,Cartilagecell_Cluhigh(Neonatal-Rib)
293,X6.85,7.915325082,5.535923243,Cartilagecell_Ppa1high(Neonatal-Rib)
294,X22.85,6.96437311,4.756485385,Cartilagecell_Ppa1high(Neonatal-Rib)
295,X40.85,7.799599307,5.414914871,Cartilagecell_Ppa1high(Neonatal-Rib)
296,X4.86,6.084477986,4.442128936,Stromalcell_Tnmdhigh(Neonatal-Rib)
297,X30.86,6.120237739,4.553462423,Stromalcell_Tnmdhigh(Neonatal-Rib)
298,X10.88,-0.932490882,7.444650735,Mesenchymalcell(Neonatal-Muscle)
299,V5264,-1.053682955,7.541709237,macrophage_mouse
300,X15.90,-1.201497707,4.831971229,Musclecell_Myl9high(Neonatal-Muscle)
301,X1.96,7.659742065,5.274623393,Preosteoblast/Osteoblast/Bonecell/Cartilagecell(Neonatal-Calvaria)
302,X13.96,7.69799488,5.32988198,Preosteoblast/Osteoblast/Bonecell/Cartilagecell(Neonatal-Calvaria)
303,X20.96,7.684133116,5.332134542,Preosteoblast/Osteoblast/Bonecell/Cartilagecell(Neonatal-Calvaria)
304,X28.96,7.718730671,5.423752353,Preosteoblast/Osteoblast/Bonecell/Cartilagecell(Neonatal-Calvaria)
305,X25.97,7.636234212,5.229354443,Dividngcell(Neonatal-Calvaria)
306,V5924,7.522489805,5.151061135,macrophage_mouse
307,X22.98,7.523884758,5.085545937,Osteoblast(Neonatal-Calvaria)
308,X37.99,7.674567374,5.228675295,Musclecell_Junbhigh(Neonatal-Calvaria)
309,X22.100,6.706307825,3.691206037,Granulocytemonocyteprogenitorcell(Muscle)
310,X49.105,-4.799156918,0.768208007,Stromalcell_Col1a2high(Bone_Marrow_Mesenchyme)
311,X20.111,-1.17916717,4.708168322,Mesenchymalstemcell_Tmsb10high(Mesenchymal-Stem-Cell-Cultured)
