,0,1,
347,-48.576637,30.13612,Human-Ex Neuron
348,-48.56065,29.963081,Human-Ex Neuron
349,-48.49191,29.790031,Human-Ex Neuron
350,-48.4549,29.615707,Human-Ex Neuron
351,-48.476116,29.440304,Human-Ex Neuron
352,-48.403484,29.27619,Human-Ex Neuron
353,-48.40926,29.108381,Human-Ex Neuron
354,-48.29655,28.912987,Human-Ex Neuron
355,-47.876614,28.70972,Human-Ex Neuron
356,-48.39231,28.53835,Human-Ex Neuron
357,-48.34975,28.364477,Human-Ex Neuron
358,-48.31164,28.174223,Human-Ex Neuron
359,-47.748676,28.112555,Human-Ex Neuron
360,-47.97669,27.888609,Human-Ex Neuron
361,-48.163776,27.626272,Human-Ex Neuron
362,-48.191902,27.416935,Human-Ex Neuron
363,-48.119698,27.27103,Human-Ex Neuron
364,-48.035736,27.102667,Human-Ex Neuron
365,-48.01001,26.908691,Human-Ex Neuron
366,-47.973568,26.761608,Human-Ex Neuron
367,-47.916416,26.578901,Human-Ex Neuron
368,-47.91927,26.362532,Human-Ex Neuron
369,-48.00936,26.101301,Human-Ex Neuron
370,-48.088074,25.927227,Human-Ex Neuron
371,-47.97153,25.788483,Human-Ex Neuron
372,-47.979908,25.60867,Human-Ex Neuron
373,-47.3437,25.253532,Human-Ex Neuron
374,-47.828377,25.170683,Human-Ex Neuron
375,-47.830437,24.976751,Human-Ex Neuron
376,-47.80322,24.79557,Human-Ex Neuron
377,-47.76018,24.613289,Human-Ex Neuron
378,-47.493607,24.449413,Human-Ex Neuron
379,-47.832855,24.251074,Human-Ex Neuron
380,-47.721313,24.074427,Human-Ex Neuron
381,-48.043434,23.875391,Human-Ex Neuron
382,-47.807114,23.707172,Human-Ex Neuron
383,-47.95526,23.53898,Human-Ex Neuron
384,-47.74302,23.35424,Human-Ex Neuron
385,-47.73608,23.167984,Human-Ex Neuron
386,-47.7375,22.977043,Human-Ex Neuron
387,-47.771893,22.805756,Human-Ex Neuron
388,-48.07002,22.630196,Human-Ex Neuron
389,-47.322174,22.335808,Human-Ex Neuron
390,-47.813663,22.274727,Human-Ex Neuron
391,-48.144775,22.08403,Human-Ex Neuron
392,-48.223324,21.906603,Human-Ex Neuron
393,-48.062057,21.715223,Human-Ex Neuron
394,-47.033165,21.541468,Human-Ex Neuron
395,-47.92684,21.333197,Human-Ex Neuron
396,-48.077168,21.167334,Human-Ex Neuron
397,-47.99493,20.978592,Human-Ex Neuron
398,-48.261303,20.800467,Human-Ex Neuron
399,-48.070072,20.630764,Human-Ex Neuron
400,-47.97354,20.456821,Human-Ex Neuron
401,-48.36267,20.237217,Human-Ex Neuron
402,-48.919426,20.146225,Human-Ex Neuron
403,-48.135353,19.920687,Human-Ex Neuron
404,-48.497555,19.748333,Human-Ex Neuron
