,0,1,2,3,4,5,6,7,8,9
128,ES_Actb_high(Embryonic-Stem-Cell),Intermediate Mesoderm,mouse ES cell,embryo 9,Endothelial cells,Epithelial cells,embryo 7,8-cell embryo,Postmitotic premature neurons,Embryonic stem cell
129,4-cell embryo,Intermediate Mesoderm,ES_Actb_high(Embryonic-Stem-Cell),embryo 10,Connective tissue progenitors,8-cell stage blastomere,Excitatory neurons,Embryonic stem cell,epiblast cell,Epithelial cells
130,Embryonic stem cell,Endothelial cells,2-cell embryo,epiblast cell,mouse zygote,embryo 7,ES_Actb_high(Embryonic-Stem-Cell),Isthmic organizer cells,Intermediate Mesoderm,Excitatory neurons
131,Postmitotic premature neurons,Connective tissue progenitors,Oligodendrocyte Progenitors,Inhibitory neurons,embryo 7,ES_Actb_high(Embryonic-Stem-Cell),epiblast cell,mouse 4-cell,Embryonic stem cell,4-cell embryo
132,embryo 14,Early blastocyst cell (86-88h post-fertilization),Oligodendrocyte Progenitors,Epithelial cells,epiblast cell,Embryonic stem cell,Postmitotic premature neurons,ES_Actb_high(Embryonic-Stem-Cell),2-cell embryo,Connective tissue progenitors
133,Embryonic stem cell,embryo 14,Intermediate Mesoderm,mouse blastocyst,Postmitotic premature neurons,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),2-cell embryo,embryo 10,Connective tissue progenitors
134,Oligodendrocyte Progenitors,Definitive erythroid lineage,Postmitotic premature neurons,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),2-cell embryo,epiblast cell,embryo 14,Early blastocyst cell (86-88h post-fertilization),Epithelial cells
135,embryo 14,embryo 9,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,8-cell stage blastomere,Definitive erythroid lineage,Postmitotic premature neurons,Epithelial cells,2-cell embryo,Inhibitory neurons
136,Intermediate Mesoderm,Intermediate Mesoderm,embryo 7,embryo 14,Embryonic stem cell,Excitatory neurons,8-cell stage blastomere,Excitatory neurons,8-cell embryo,ES_Actb_high(Embryonic-Stem-Cell)
137,Excitatory neurons,embryo 9,ES cell,Epithelial cells,8-cell stage blastomere,embryo 10,Postmitotic premature neurons,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons
138,Intermediate Mesoderm,embryo 7,Excitatory neurons,Embryonic stem cell,Excitatory neurons,4-cell embryo,Mid blastocyst cell (92-94h post-fertilization),embryo 14,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell)
139,8-cell embryo,Epithelial cells,embryo 7,Excitatory neurons,epiblast cell,ES_Rps28_high(Embryonic-Stem-Cell),Embryonic stem cell,16-cell stage blastomere,Excitatory neurons,Connective tissue progenitors
140,Connective tissue progenitors,ES cell,Epithelial cells,embryo 14,ES_Actb_high(Embryonic-Stem-Cell),embryo 14,Epithelial cells,Embryonic stem cell,Mid blastocyst cell (92-94h post-fertilization),Epithelial cells
141,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Jaw and tooth progenitors,embryo 10,4-cell embryo,Oligodendrocyte Progenitors,Intermediate Mesoderm,Epithelial cells,embryo 3,2-cell embryo
142,Connective tissue progenitors,Jaw and tooth progenitors,Connective tissue progenitors,Embryonic stem cell,Epithelial cells,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),Late blastocyst cell (100-102h post-fertilization),embryo 10,blastocyst
143,Inhibitory neurons,Isthmic organizer cells,Excitatory neurons,epiblast cell,mouse 4-cell,CD4-positive  alpha-beta T cell,8-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Excitatory neurons
144,8-cell embryo,Isthmic organizer cells,Isthmic organizer cells,Excitatory neurons,Connective tissue progenitors,Embryonic stem cell,16-cell stage blastomere,ES_Rps28_high(Embryonic-Stem-Cell),embryo 14,embryo 14
145,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Endothelial cells,Excitatory neurons,2-cell embryo,Mid blastocyst cell (92-94h post-fertilization),Connective tissue progenitors,embryo 7,epiblast cell,Embryonic stem cell
146,embryo 14,8-cell embryo,Early blastocyst cell (86-88h post-fertilization),Epithelial cells,Epithelial cells,epiblast cell,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Inhibitory neurons,Embryonic stem cell
147,Excitatory neurons,epiblast cell,Embryonic stem cell,Definitive erythroid lineage,Excitatory neurons,Excitatory neurons,2-cell embryo,ES_Nedd4_high(Embryonic-Stem-Cell),mouse morula,embryo 9
148,Postmitotic premature neurons,embryo 14,Inhibitory neurons,2-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Epithelial cells,epiblast cell,Postmitotic premature neurons,Early blastocyst cell (86-88h post-fertilization)
149,Excitatory neurons,Excitatory neurons,Epithelial cells,2-cell embryo,ES_Rps28_high(Embryonic-Stem-Cell),embryo 9,Connective tissue progenitors,Embryonic stem cell,8-cell embryo,epiblast cell
150,4-cell embryo,Jaw and tooth progenitors,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,Embryonic stem cell,Mid blastocyst cell (92-94h post-fertilization),embryo 9,Postmitotic premature neurons,epiblast cell,Postmitotic premature neurons
151,embryo 14,Embryonic stem cell,4-cell embryo,embryo 10,Intermediate Mesoderm,4-cell stage blastomere,Excitatory neurons,Inhibitory neurons,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells
152,Postmitotic premature neurons,ES_Actb_high(Embryonic-Stem-Cell),embryo 18,Embryonic stem cell,16-cell stage blastomere,8-cell embryo,Epithelial cells,epiblast cell,Oligodendrocyte Progenitors,Endothelial cells
