Dim1,Dim2,Dataset
0.338409214,-2.583087759,Glandular epithelium_Sprr2f high(Uterus)
5.429953127,0.412197961,Glandular epithelium_Sprr2f high(Uterus)
-3.127745123,0.482858284,Glandular epithelium_Sprr2f high(Uterus)
-1.478679509,-0.010154313,Glandular epithelium_Sprr2f high(Uterus)
-2.557538958,-0.932891325,Glandular epithelium_Sprr2f high(Uterus)
-2.048336477,-0.658819274,Glandular epithelium_Sprr2f high(Uterus)
2.22572258,2.188366337,Glandular epithelium_Sprr2f high(Uterus)
0.350629477,0.107108845,Glandular epithelium_Sprr2f high(Uterus)
4.840315847,-1.326818542,Glandular epithelium_Sprr2f high(Uterus)
0.155365913,1.078627034,Glandular epithelium_Sprr2f high(Uterus)
0.984593778,-2.019586162,Glandular epithelium_Sprr2f high(Uterus)
0.226342647,-0.552092986,Glandular epithelium_Sprr2f high(Uterus)
-3.923824282,-1.175642209,Glandular epithelium_Sprr2f high(Uterus)
2.154982357,-0.199201824,Glandular epithelium_Sprr2f high(Uterus)
2.78551939,-1.280351715,Glandular epithelium_Sprr2f high(Uterus)
6.877163916,-2.602972345,Macrophage(Uterus)
7.090470343,0.325278862,Macrophage(Uterus)
10.07558158,-3.220535831,Macrophage(Uterus)
6.268138437,-6.256702022,Macrophage(Uterus)
7.039537458,-3.093549566,Macrophage(Uterus)
13.47073367,1.684758111,Macrophage(Uterus)
14.93447116,0.332455619,Macrophage(Uterus)
4.611972361,-4.490466194,Macrophage(Uterus)
8.916937857,-2.133385257,Macrophage(Uterus)
6.688240557,-1.015407638,Macrophage(Uterus)
9.09872344,1.890704198,Macrophage(Uterus)
12.15019897,0.573964997,Macrophage(Uterus)
5.725346117,-3.369663553,Macrophage(Uterus)
10.28726867,-2.865174608,Macrophage(Uterus)
10.8897877,0.886712058,Macrophage(Uterus)
5.880472212,-6.213072376,Macrophage(Uterus)
7.252501993,-3.776715593,Macrophage(Uterus)
8.565320044,-5.579209404,Macrophage(Uterus)
10.57858565,-0.987999038,Macrophage(Uterus)
8.778807669,1.014632745,Macrophage(Uterus)
6.59763196,-5.630401687,Macrophage(Uterus)
9.120674162,-5.170250015,Macrophage(Uterus)
6.467612295,-6.097180442,Macrophage(Uterus)
10.72904494,1.628696604,Macrophage(Uterus)
5.925746946,-5.356418685,Macrophage(Uterus)
5.654988794,-1.391827778,Macrophage(Uterus)
5.817090063,-2.935946302,Macrophage(Uterus)
10.73971751,-1.013293581,Macrophage(Uterus)
7.46193984,-4.815924243,Macrophage(Uterus)
6.950026541,-3.562611179,Macrophage(Uterus)
7.534772901,-2.818493919,Macrophage(Uterus)
9.183213263,-0.783606784,Macrophage(Uterus)
